,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
129,000411.SZ,20190226,12.75,2.6873,5.9302,2.06,31.6801,26.9999,2.8908,0.1399,0.1307,20744.9946,20730.1321,9393.7349,264498.6812,264309.1843
130,603238.SH,20190226,18.85,9.1172,9.1172,1.01,43.8602,39.4129,2.7968,3.6581,2.4775,12000.0,3000.0,3000.0,226200.0,56550.0
131,603386.SH,20190226,17.08,19.6301,19.6301,1.68,52.5237,42.9963,5.3064,3.487,3.0691,20180.0,5667.5,5667.5,344674.4,96800.9
132,603429.SH,20190226,26.6,2.4409,3.0698,1.44,51.078,48.6889,8.7291,21.6548,14.0153,19040.0,9758.0,7758.8,506464.0,259562.8
133,603897.SH,20190226,24.24,13.5311,13.5311,1.76,24.3735,23.9183,2.5725,0.9434,0.8684,17840.0,4460.0,4460.0,432441.6,108110.4
134,601158.SH,20190226,6.06,0.1844,1.6123,1.35,14.0731,14.841,2.0598,6.5051,5.8498,480000.0,480000.0,54903.9311,2908800.0,2908800.0
135,600539.SH,20190226,6.69,0.5817,1.1691,2.2,,,3.5893,19.979,19.8445,23000.0,23000.0,11443.3381,153870.0,153870.0
136,000021.SZ,20190226,7.48,1.7593,3.652,1.02,20.3306,21.4467,1.7807,0.7745,0.6837,147125.9363,146932.7064,70783.7832,1100502.0035,1099056.6439
137,603360.SH,20190226,16.75,3.1486,3.3055,1.2,31.1852,24.5474,4.0994,7.6196,6.05,18667.6,7840.9332,7468.5932,312682.3,131335.6311
138,000875.SZ,20190226,2.85,5.1169,6.416,2.72,,,0.8352,1.1988,0.9306,214631.398,195430.9256,155860.9132,611699.4843,556978.138
139,002663.SZ,20190226,3.45,0.9227,1.0292,0.39,40.7929,38.655,1.188,1.7325,1.6854,179589.0452,124985.091,112058.2076,619582.2059,431198.564
140,002572.SZ,20190226,19.1,3.4745,3.9844,1.19,19.4508,17.2436,3.7257,2.8626,2.5138,92342.631,63809.5835,55643.5935,1763744.2521,1218763.0449
141,600187.SH,20190226,3.28,5.1172,6.0642,2.03,304.1932,795.7602,1.583,12.3354,12.7504,165393.5128,145562.4228,122831.1728,542490.722,477444.7468
142,300153.SZ,20190226,8.12,3.6751,7.0082,1.12,89.7142,99.7569,2.7072,2.4211,2.192,32000.0,31959.7386,16759.9386,259840.0,259513.0774
143,000861.SZ,20190226,2.79,1.3814,3.1703,2.6,26.446,24.8615,1.8582,2.3751,2.0911,218039.1703,197554.364,86079.2922,608329.2851,551176.6756
144,002083.SZ,20190226,5.51,1.1,1.6334,1.69,12.1966,12.067,1.4893,1.0376,0.9726,90800.0005,86507.7626,58256.1049,500308.0028,476657.7719
145,300658.SZ,20190226,12.84,5.3218,5.3218,1.05,21.3691,31.3159,2.5289,2.6092,2.6809,15000.0,4200.0,4200.0,192600.0,53928.0
146,603197.SH,20190226,23.49,3.9738,4.5336,2.07,22.5641,25.7851,2.8309,1.8856,1.734,16702.4557,9840.1678,8625.0734,392340.6844,231145.5416
147,600196.SH,20190226,28.37,4.5296,8.8853,2.47,23.2722,25.975,2.5487,3.9234,3.066,256306.0895,191052.1364,97394.5874,7271403.7591,5420149.1097
148,002329.SZ,20190226,4.27,3.9103,4.4781,1.23,63.0371,,1.3244,1.5112,1.451,83764.0035,51862.9122,45287.3275,357672.2949,221454.6351
149,600757.SH,20190226,7.15,1.8082,4.1534,1.3,14.1475,11.9652,1.3174,0.7726,0.7104,121365.0273,121349.7103,52830.0866,867759.9452,867650.4286
150,000615.SZ,20190226,5.66,5.422,9.9855,1.96,14.3383,10.9087,2.4926,1.5863,1.2496,78334.9807,64373.0937,34953.8051,443375.9908,364351.7103
151,002420.SZ,20190226,3.61,2.2002,3.1489,1.4,,,4.6259,0.2541,0.2972,40100.0,39171.7442,27370.6442,144761.0,141409.9966
152,300154.SZ,20190226,5.88,1.544,3.2805,1.04,31.2565,26.1602,1.6877,4.1375,4.3097,45602.0,31718.965,14928.975,268139.76,186507.5142
153,002249.SZ,20190226,4.55,3.1027,3.9009,1.18,25.8179,,1.6279,1.2534,1.1719,237043.0924,229362.0164,182430.1657,1078546.0704,1043597.1746
154,000622.SZ,20190226,7.64,28.3811,51.2249,1.46,,,17.2216,55.3134,43.8909,42522.6,42522.6,23559.6,324872.664,324872.664
155,300329.SZ,20190226,8.19,3.313,5.9953,1.59,50.6886,40.3227,2.3642,4.4229,3.9905,25363.188,25088.488,13863.668,207724.5097,205474.7167
156,600249.SH,20190226,4.39,4.2175,6.9905,1.57,,,1.3172,1.6402,1.8728,55000.0,55000.0,33182.01,241450.0,241450.0
157,603826.SH,20190226,16.56,6.9127,10.2496,1.6,43.0066,43.0066,5.9736,13.2079,13.2079,46800.0,18945.7572,12777.7298,775008.0,313741.7392
158,600397.SH,20190226,2.48,2.026,3.3401,1.5,,,2.7951,0.5944,0.5067,98995.9882,98995.9882,60047.3792,245510.0507,245510.0507
159,000428.SZ,20190226,2.95,0.9754,2.5615,1.33,27.586,58.1549,1.0717,2.8274,2.8202,101892.6,101888.445,38797.553,300583.17,300570.9128
160,600321.SH,20190226,2.22,1.2167,2.2955,1.48,,181.1488,1.2546,2.8823,1.6861,151055.0,151055.0,80064.7269,335342.1,335342.1
161,600648.SH,20190226,15.51,0.8443,2.3724,1.42,23.808,16.6881,1.6696,1.9667,1.9428,113534.9124,93479.1624,33266.4508,1760926.4913,1449861.8088
162,600967.SH,20190226,11.69,3.2258,4.1794,1.06,37.6209,35.6502,2.3874,1.6505,1.6691,168963.1817,96049.8197,74135.503,1975179.5941,1122822.3923
